観光地,住所,lat,lng
テラドローン株式会社,東京都渋谷区道玄坂,35.659397,139.698318
株式会社エンルート,埼玉県朝霞市北原2-4-23,35.820103,139.588593
ACSL（蒼天）,東京都江戸川区臨海町,35.64262,139.859528
 ブルーイノベーション株式会社,東京都文京区本郷,35.713539,139.758087
イームズロボティクス（EAMS),福島県南相馬市小高区飯崎字,37.55685,140.960388
SAITOTEC,山梨県南巨摩郡身延町,35.467499,138.442505
株式会社プロドローン,愛知県名古屋市天白区中平,35.122677,136.998566
エアロセンス株式会社,東京都文京区小石川,35.714264,139.742691
株式会社エアロネクスト,東京都渋谷区恵比寿西,35.647743,139.705597
